,duokong,code,date
420,0.0,603127,20190522
421,0.0,603127,20190523
422,-1.0,603127,20190524
423,1.0,603127,20190527
424,0.0,603127,20190528
425,0.0,603127,20190529
426,0.0,603127,20190530
427,0.0,603127,20190531
428,-1.0,603127,20190603
429,0.0,603127,20190604
430,0.0,603127,20190605
431,0.0,603127,20190606
432,0.0,603127,20190610
433,0.0,603127,20190611
434,0.0,603127,20190612
435,0.0,603127,20190613
436,0.0,603127,20190614
437,0.0,603127,20190617
438,0.0,603127,20190618
439,1.0,603127,20190619
440,0.0,603127,20190620
441,0.0,603127,20190621
442,-1.0,603127,20190624
443,0.0,603127,20190625
444,1.0,603127,20190626
445,0.0,603127,20190627
446,0.0,603127,20190628
447,0.0,603127,20190701
448,0.0,603127,20190702
449,0.0,603127,20190703
450,0.0,603127,20190704
451,0.0,603127,20190705
452,0.0,603127,20190708
453,0.0,603127,20190709
454,-1.0,603127,20190710
455,1.0,603127,20190711
456,0.0,603127,20190712
457,-1.0,603127,20190715
458,1.0,603127,20190716
459,-1.0,603127,20190717
460,1.0,603127,20190718
461,0.0,603127,20190719
462,0.0,603127,20190722
463,0.0,603127,20190723
464,0.0,603127,20190724
465,0.0,603127,20190725
466,0.0,603127,20190726
467,0.0,603127,20190729
468,0.0,603127,20190730
469,0.0,603127,20190731
470,0.0,603127,20190801
471,0.0,603127,20190802
472,0.0,603127,20190805
473,0.0,603127,20190806
474,0.0,603127,20190807
475,0.0,603127,20190808
476,0.0,603127,20190809
477,0.0,603127,20190812
478,0.0,603127,20190813
479,0.0,603127,20190814
480,0.0,603127,20190815
481,0.0,603127,20190816
482,0.0,603127,20190819
483,0.0,603127,20190820
484,0.0,603127,20190821
485,0.0,603127,20190822
486,0.0,603127,20190823
487,0.0,603127,20190826
488,0.0,603127,20190827
489,0.0,603127,20190828
490,0.0,603127,20190829
491,0.0,603127,20190830
492,0.0,603127,20190902
493,0.0,603127,20190903
494,0.0,603127,20190904
495,0.0,603127,20190905
496,0.0,603127,20190906
497,0.0,603127,20190909
498,0.0,603127,20190910
499,-1.0,603127,20190911
500,0.0,603127,20190912
501,0.0,603127,20190916
502,0.0,603127,20190917
503,0.0,603127,20190918
504,0.0,603127,20190919
505,0.0,603127,20190920
506,1.0,603127,20190923
507,0.0,603127,20190924
508,0.0,603127,20190925
509,0.0,603127,20190926
510,0.0,603127,20190927
511,0.0,603127,20190930
512,0.0,603127,20191008
513,0.0,603127,20191009
514,0.0,603127,20191010
515,0.0,603127,20191011
516,0.0,603127,20191014
517,0.0,603127,20191015
518,0.0,603127,20191016
519,0.0,603127,20191017
520,0.0,603127,20191018
521,-1.0,603127,20191021
522,0.0,603127,20191022
523,0.0,603127,20191023
524,0.0,603127,20191024
525,0.0,603127,20191025
526,0.0,603127,20191028
527,0.0,603127,20191029
528,0.0,603127,20191030
529,0.0,603127,20191031
530,0.0,603127,20191101
531,1.0,603127,20191104
532,-1.0,603127,20191105
533,0.0,603127,20191106
534,0.0,603127,20191107
535,0.0,603127,20191108
536,0.0,603127,20191111
537,0.0,603127,20191112
538,0.0,603127,20191113
539,0.0,603127,20191114
540,0.0,603127,20191115
541,0.0,603127,20191118
542,1.0,603127,20191119
543,0.0,603127,20191120
544,-1.0,603127,20191121
545,0.0,603127,20191122
546,0.0,603127,20191125
547,0.0,603127,20191126
548,0.0,603127,20191127
549,0.0,603127,20191128
550,0.0,603127,20191129
551,0.0,603127,20191202
552,0.0,603127,20191203
553,1.0,603127,20191204
554,0.0,603127,20191205
555,0.0,603127,20191206
556,-1.0,603127,20191209
557,0.0,603127,20191210
558,1.0,603127,20191211
559,0.0,603127,20191212
560,0.0,603127,20191213
561,0.0,603127,20191216
562,0.0,603127,20191217
563,0.0,603127,20191218
564,0.0,603127,20191219
565,-1.0,603127,20191220
566,0.0,603127,20191223
567,0.0,603127,20191224
568,0.0,603127,20191225
569,0.0,603127,20191226
570,0.0,603127,20191227
571,0.0,603127,20191230
572,0.0,603127,20191231
573,0.0,603127,20200102
574,0.0,603127,20200103
575,0.0,603127,20200106
576,0.0,603127,20200107
